name,type,url,local_path
最好的伙伴,ability,https://patchwiki.biligame.com/images/rocom/8/8e/byivg8ij1v3f8l0dl2wbanleocmtd9s.png,images/abilities/最好的伙伴.png
迪莫,sprite,https://patchwiki.biligame.com/images/rocom/2/25/o64cvcxq1l6tlur77xjqbwx2s4imabd.png,images/sprites/迪莫.png
幽,matchup,https://patchwiki.biligame.com/images/rocom/thumb/e/e7/ttqdi3zlz72g5dgmc8qg9ko4aorwllw.png/32px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E5%B9%BD.png,images/matchup/幽.png
恶,matchup,https://patchwiki.biligame.com/images/rocom/thumb/3/3b/hrdmz7n0qt3bnmir9fdn7977fvleec0.png/32px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E6%81%B6.png,images/matchup/恶.png
猛烈撞击,skill,https://patchwiki.biligame.com/images/rocom/e/eb/cfuyfb8bey4c7scjjg2v9amspxmdldo.png,images/skills/猛烈撞击.png
普通,attribute,https://patchwiki.biligame.com/images/rocom/thumb/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E6%99%AE%E9%80%9A.png,images/attributes/普通.png
闪光,skill,https://patchwiki.biligame.com/images/rocom/4/4d/l3c7n7ginftxk5hlbhlhn7m7zih35kt.png,images/skills/闪光.png
光,attribute,https://patchwiki.biligame.com/images/rocom/thumb/d/de/pxfi7cg0j94c45uxf4itigu90wis7jr.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E5%85%89.png,images/attributes/光.png
防御,skill,https://patchwiki.biligame.com/images/rocom/4/40/d5m527azmrkdmrdvfnayi157ossqe5a.png,images/skills/防御.png
魔法增效,skill,https://patchwiki.biligame.com/images/rocom/9/91/ccs5zv2xagec1cs05nqh09in7524vco.png,images/skills/魔法增效.png
光球,skill,https://patchwiki.biligame.com/images/rocom/8/86/4dx4e22eg43q8fujisq3xoewyfy47w3.png,images/skills/光球.png
火焰箭,skill,https://patchwiki.biligame.com/images/rocom/e/e3/8f9oosw2gealxroc1mh1gp2n6tn9g63.png,images/skills/火焰箭.png
火,attribute,https://patchwiki.biligame.com/images/rocom/thumb/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E7%81%AB.png,images/attributes/火.png
力量增效,skill,https://patchwiki.biligame.com/images/rocom/0/03/kqkpuxytz7mjs3n3o6zn8pklqd0stll.png,images/skills/力量增效.png
棘突,skill,https://patchwiki.biligame.com/images/rocom/e/ee/hwwbr2zgt2k56medvh2cimahmzxc6zi.png,images/skills/棘突.png
草,attribute,https://patchwiki.biligame.com/images/rocom/thumb/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E8%8D%89.png,images/attributes/草.png
潮涌,skill,https://patchwiki.biligame.com/images/rocom/c/cc/coz4l71zr6qrzhwnuvgl3zbez0suyug.png,images/skills/潮涌.png
水,attribute,https://patchwiki.biligame.com/images/rocom/thumb/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E6%B0%B4.png,images/attributes/水.png
超导,skill,https://patchwiki.biligame.com/images/rocom/8/81/5g3numw6tzro7hnckz51ew5i1dbkgnp.png,images/skills/超导.png
电,attribute,https://patchwiki.biligame.com/images/rocom/thumb/0/02/iqzkamzcra945jsw5z6o8h9p30fv7db.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E7%94%B5.png,images/attributes/电.png
闪光冲击,skill,https://patchwiki.biligame.com/images/rocom/d/d3/c1mvga7gceng0ug8ur8j7bdwuo51e6m.png,images/skills/闪光冲击.png
漫反射,skill,https://patchwiki.biligame.com/images/rocom/1/15/4jt3pi7o3uhlk3pqhu0jmxm9l3c4tpa.png,images/skills/漫反射.png
冰爪,skill,https://patchwiki.biligame.com/images/rocom/b/bd/dshfsy17e0nthmbe8on2zgx9qm7i1dm.png,images/skills/冰爪.png
冰,attribute,https://patchwiki.biligame.com/images/rocom/thumb/9/9b/oxnxxud1xhopw87c7mnawxijz8r1hns.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E5%86%B0.png,images/attributes/冰.png
热砂,skill,https://patchwiki.biligame.com/images/rocom/5/5a/ixqirm3agby1babrxya70b1c2puxxhz.png,images/skills/热砂.png
地,attribute,https://patchwiki.biligame.com/images/rocom/thumb/3/32/0w5pybmkd8qm306doqx8kh5onl1o8cq.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E5%9C%B0.png,images/attributes/地.png
念力膨胀,skill,https://patchwiki.biligame.com/images/rocom/e/e7/oh2csauefqvr62g21j1qxikz14prjju.png,images/skills/念力膨胀.png
幻,attribute,https://patchwiki.biligame.com/images/rocom/thumb/6/64/89miqle961qdw2tt56hb78bps6f34ci.png/80px-%E5%9B%BE%E6%A0%87_%E5%AE%A0%E7%89%A9_%E5%B1%9E%E6%80%A7_%E5%B9%BB.png,images/attributes/幻.png
放晴,skill,https://patchwiki.biligame.com/images/rocom/2/2b/f6zcx4loynihs6wzegsp992aia5v0cq.png,images/skills/放晴.png
过曝,skill,https://patchwiki.biligame.com/images/rocom/4/4a/gdpuh77anculkdjzvh42jda8l0j1rwv.png,images/skills/过曝.png
